iso3,volume
POL,41
LVA,45
GBR,27
NLD,22
CZE,30
SVK,23
HUN,27
DEN,14
SWE,13
FRA,22
ESP,18
FIN,19
IRL,22
PRT,30
ITA,16
AUT,18
BEL,13
GRC,19
DEU,20
USA,75
